id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent
4044,kel,2,62,31,178,-29,-116,-1450%,-187%,,,1/3205/4033
4045,kel,2,30,24,217,-22,-187,-1100%,-623%,,,1/3205/4033
31497,kel,663,727,4011,4383,-3348,-3656,-505%,-503%,,,26141/31345/31487
4053,kel,10,117,51,224,-41,-107,-410%,-91%,,,1/3205/4033
4048,kel,12,141,56,322,-44,-181,-367%,-128%,,,1/3205/4033
929724,kel,267,,1071,,-804,,-301%,#DIV/0!,,,78203/79564/928154
4042,kel,4,96,15,153,-11,-57,-275%,-59%,,,1/3205/4033
4056,kel,8,103,23,358,-15,-255,-188%,-248%,,,1/3205/4033
11764,kec,39092,40346,4831,3992,34261,36354,88%,90%,-1254,839,6728/11743
74049,kel,213,409,565,954,-352,-545,-165%,-133%,,,72551/74018/74045
82937,kel,70,1,184,8,-114,-7,-163%,-700%,,,81877/82850/83564
77329,kel,149,291,350,452,-201,-161,-135%,-55%,,,77085/77311/83860
31893,kel,479,1765,1085,2974,-606,-1209,-127%,-68%,,,26141/31685/31889
4043,kel,8,110,18,164,-10,-54,-125%,-49%,,,1/3205/4033
3235,kel,6,312,13,274,-7,38,-117%,12%,,,1/3205/3206
92654,kel,569,1587,1216,3289,-647,-1702,-114%,-107%,,,61965/62333/62405
929733,kel,189,,393,,-204,,-108%,#DIV/0!,,,78203/79564/928155
15925,kel,22,158,45,372,-23,-214,-105%,-135%,,,15885/15886/15923
86806,kel,206,,413,,-207,,-100%,#DIV/0!,,,78203/79564/928154
929761,kel,240,,481,,-241,,-100%,#DIV/0!,,,78203/79564/928160
929723,kel,268,,536,,-268,,-100%,#DIV/0!,,,78203/79564/928154
929728,kel,242,,484,,-242,,-100%,#DIV/0!,,,78203/79564/928154
929739,kel,261,,522,,-261,,-100%,#DIV/0!,,,78203/79564/928156
929732,kel,254,,507,,-253,,-100%,#DIV/0!,,,78203/79564/928155
929726,kel,238,,475,,-237,,-100%,#DIV/0!,,,78203/79564/928154
929762,kel,224,,447,,-223,,-100%,#DIV/0!,,,78203/79564/928160
