,id,category,pas1 parent,pas2 parent,pas1 child,pas2 child,gap1,gap2,gap1 percentage,gap2 percentage,diffrence vote in parent,diffrence vote in child,Path Parent,gap diffrence vote,gap gap percentage
0,4044,kel,2,62,31,178,-29,-116,-1450.0,-187.1,-60,-147,1/3205/4033,87,1262.9
1,4045,kel,2,30,24,217,-22,-187,-1100.0,-623.33,-28,-193,1/3205/4033,165,476.66999999999996
2,31497,kel,663,727,4011,4383,-3348,-3656,-504.98,-502.89,-64,-372,26141/31345/31487,308,2.090000000000032
3,4053,kel,10,117,51,224,-41,-107,-410.0,-91.45,-107,-173,1/3205/4033,66,318.55
4,4048,kel,12,141,56,322,-44,-181,-366.67,-128.37,-129,-266,1/3205/4033,137,238.3
5,929724,kel,267,0,1071,0,-804,0,-301.12,0.0,267,1071,78203/79564/928154,804,301.12
6,4042,kel,4,96,15,153,-11,-57,-275.0,-59.38,-92,-138,1/3205/4033,46,215.62
7,4056,kel,8,103,23,358,-15,-255,-187.5,-247.57,-95,-335,1/3205/4033,240,60.06999999999999
8,11764,kec,39092,40346,4831,3992,34261,36354,87.64,90.11,-1254,839,6728/11743,2093,2.469999999999999
9,74049,kel,213,409,565,954,-352,-545,-165.26,-133.25,-196,-389,72551/74018/74045,193,32.00999999999999
10,82937,kel,70,1,184,8,-114,-7,-162.86,-700.0,69,176,81877/82850/83564,107,537.14
11,77329,kel,149,291,350,452,-201,-161,-134.9,-55.33,-142,-102,77085/77311/83860,40,79.57000000000001
12,31893,kel,479,1765,1085,2974,-606,-1209,-126.51,-68.5,-1286,-1889,26141/31685/31889,603,58.010000000000005
13,4043,kel,8,110,18,164,-10,-54,-125.0,-49.09,-102,-146,1/3205/4033,44,75.91
14,3235,kel,6,312,13,274,-7,38,-116.67,12.18,-306,-261,1/3205/3206,45,128.85
15,92654,kel,569,1587,1216,3289,-647,-1702,-113.71,-107.25,-1018,-2073,61965/62333/62405,1055,6.459999999999994
16,929733,kel,189,0,393,0,-204,0,-107.94,0.0,189,393,78203/79564/928155,204,107.94
17,15925,kel,22,158,45,372,-23,-214,-104.55,-135.44,-136,-327,15885/15886/15923,191,30.89
18,86806,kel,206,0,413,0,-207,0,-100.49,0.0,206,413,78203/79564/928154,207,100.49
19,929761,kel,240,0,481,0,-241,0,-100.42,0.0,240,481,78203/79564/928160,241,100.42
20,929723,kel,268,0,536,0,-268,0,-100.0,0.0,268,536,78203/79564/928154,268,100.0
21,929728,kel,242,0,484,0,-242,0,-100.0,0.0,242,484,78203/79564/928154,242,100.0
22,929739,kel,261,0,522,0,-261,0,-100.0,0.0,261,522,78203/79564/928156,261,100.0
23,929732,kel,254,0,507,0,-253,0,-99.61,0.0,254,507,78203/79564/928155,253,99.61
24,929726,kel,238,0,475,0,-237,0,-99.58,0.0,238,475,78203/79564/928154,237,99.58
25,929762,kel,224,0,447,0,-223,0,-99.55,0.0,224,447,78203/79564/928160,223,99.55
26,929731,kel,193,0,385,0,-192,0,-99.48,0.0,193,385,78203/79564/928155,192,99.48
27,86801,kel,170,0,339,0,-169,0,-99.41,0.0,170,339,78203/79564/928155,169,99.41
28,927636,kel,205,0,408,0,-203,0,-99.02,0.0,205,408,78203/79564/928160,203,99.02
29,4040,kel,36,108,2,62,34,46,94.44,42.59,-72,-60,1/3205/4033,12,51.849999999999994
30,4038,kel,31,178,2,30,29,148,93.55,83.15,-147,-28,1/3205/4033,119,10.399999999999991
31,47831,kec,26697,7644,11362,4863,15335,2781,57.44,36.38,19053,6499,42385/47634,12554,21.059999999999995
32,1932,kel,20,324,37,231,-17,93,-85.0,28.7,-304,-194,1/1824/1883,110,113.7
33,927635,kel,193,0,349,0,-156,0,-80.83,0.0,193,349,78203/79564/928160,156,80.83
34,77936,kel,186,273,39,54,147,219,79.03,80.22,-87,-15,77085/928079/77932,72,1.1899999999999977
35,4036,kel,56,322,12,81,44,241,78.57,74.84,-266,-69,1/3205/4033,197,3.7299999999999898
36,4051,kel,9,117,16,159,-7,-42,-77.78,-35.9,-108,-143,1/3205/4033,35,41.88
37,47710,kec,28633,10574,15836,3753,12797,6821,44.69,64.51,18059,12083,42385/47634,5976,19.820000000000007
38,4041,kel,15,153,4,96,11,57,73.33,37.25,-138,-92,1/3205/4033,46,36.08
39,4049,kel,32,236,9,117,23,119,71.88,50.42,-204,-108,1/3205/4033,96,21.459999999999994
